organization_id,assessment_id
200023414,2103
200046977,2756
200046977,4067
217500016,1258
217500016,2623
225005024,38
243300316,2288
221100019,2147
222400012,2205
228000014,23
228000014,2287
220900013,3947
220900013,3948
220900013,3949
221200017,474
221200017,3329
229102280,1321
222702292,2181
226100014,1377
228900015,3055
225400019,2980
225400019,3015
227100013,20
228200010,2217
221300015,450
228800017,3793
223200015,355
226800019,1114
225600014,2289
225900018,1783
229400288,787
229400288,3135
229300082,2962
227400017,1585
227400017,54
220300016,19
229102280,50
225700012,47
227900016,33
226700011,28
221700016,97
223300013,56
223300013,1733
225500016,2497
225700012,3076
225800010,3479
225800010,3480
229740014,83
227605409,2618
220100010,2761
220200026,1508
221100019,3799
223600016,2632
223800012,2602
224700013,803
227700010,2450
228400016,1852
228400016,2552
229200506,3286
228800017,1684
223500018,3354
226700011,3091
222500019,2550
226200012,4055
226900017,1680
200070753,3661
200010650,3087
200042935,3682
245804406,3075
200073344,3243
200066058,3981
200066876,3568
200042174,3567
200067254,2029
200067346,3890
241200187,2977
248100430,2865
241700434,3090
243500782,2583
200043396,2516
247700057,2740
245701362,2292
248500589,3271
241100593,2637
200040392,3006
200039865,1107
244500468,3247
200069250,2341
200039022,2178
200071751,1754
246800247,798
247104193,3142
249740119,4083
246300701,2590
246800726,1710
240200261,1773
200044618,2241
200041317,1559
248600413,689
246200299,2665
240600585,2074
242500361,3039
200065928,2708
243100633,2763
200030385,3289
248000531,1289
200040244,2560
200066876,1230
200068500,1342
242900769,405
200069854,718
200066009,1527
200068781,1011
200066793,1126
200066793,1127
200069110,41
200006682,851
243400827,1597
243500782,494
247100589,338
200067254,2031
249400094,439
200071751,99
200066876,43
249300070,73
249720053,10
200027183,72
200073344,42
244000865,93
246300701,44
200035665,45
247700057,2737
243000643,55
245901160,17
200067114,51
248100430,986
243700754,53
243800455,52
200071587,3750
240100883,3529
245701404,2725
200039204,3620
200068567,3575
245701271,3744
240800862,2785
243800778,3788
200040954,2933
200043123,2964
200039204,1595
240100750,2609
200034882,3439
245701271,1222
200042935,1458
244400552,1070
200055267,2544
200069854,3098
200027159,1278
200027183,312
244900015,357
245000237,369
247100290,2419
212201669,3677
200063402,1008
216601369,4051
212500565,3852
213401722,3767
212000046,3283
228100012,3115
218100048,3143
211102629,2718
218708501,3493
216902668,2648
219200128,2426
249740119,2362
218700201,2535
215903501,3125
219200508,2985
216601369,332
200041309,2498
219400462,2927
210600888,3680
211003744,2343
214502346,3246
211300017,2105
212500565,3345
210600292,2097
246100663,2077
218600666,687
210600698,2075
217201912,259
210206660,1769
210600045,2100
218400075,1781
216301135,2591
216800664,1709
215704636,1446
219200631,2711
218300697,2488
200042174,84
217603513,289
213303183,352
214900078,430
214100182,3297
211300553,1268
216802249,1523
214202186,3482
216902593,538
216902668,1857
216601369,39
212500565,3344
246100663,6
219400819,882
216404459,2032
210600045,48
242900769,5
216902668,2654
219722097,4
130014756,3455
221200017,1687
221401185,224
222000028,1054
226200012,248
221000052,3547
221200017,1686
287410203,3349
245400676,3637
244200770,3481
200053742,1000
236300018,18
175800010,4072
178800017,3851
130006380,3869
110014016,3824
110068012,3418
130022114,3418
172100018,3807
177400017,3787
179710017,3738
179740014,3986
170200018,3707
130007388,3743
171300015,3783
176600013,3827
177800018,3645
130020357,3921
130020357,3922
130020357,3923
130020357,3888
130020357,3905
130020357,3898
130020357,3924
130020357,4039
130020357,4040
130020357,3906
130020357,3899
130020357,3900
130020357,3907
130020357,3901
130020357,3908
130020357,3902
130020357,3909
130020357,3903
130020357,3904
130020357,4037
130020357,4038
110000296,3335
130001563,3248
130008238,2643
130009954,2627
130011083,2780
130001761,3256
130006570,3667
175500016,2644
178300018,3277
130019730,2384
130014368,2528
130006729,3946
130009301,2940
130006596,2265
172900011,2605
130001688,1451
130001696,2301
130006380,2474
179740014,1265
174700013,2936
177800018,3616
175904309,2214
160061065,2236
130010945,461
130001738,473
130001712,2307
130006109,820
130006109,1182
173200015,4163
212500565,4107
175100015,4092
173000019,4161
200011773,4213
226300010,4253
