organization_id,population,comment
200089456,105738,Created on 2019-09-01 by merging 2 previous entities
200090561,40088,Created on 2019-11-01 by merging 2 previous entities
200090579,26035,Created on 2019-11-01 by merging 4 previous entities
200090504,75989,Created on 2019-11-01 by changing number from previous SIREN
200090751,104918,Created on 2019-11-01 by changing number from previous SIREN
242320109,7315,Created again on 2020-01-01 by splitting of 3 previously merged groups
242300135,11337,Created again on 2020-01-01 by splitting of 3 previously merged groups
242320000,7170,Created again on 2020-01-01 by splitting of 3 previously merged groups
211406665,1962,Created again on 2020-01-01 by splitting of 2 previously merged cities
211407127,3647,Created again on 2020-01-01 by splitting of 2 previously merged cities
