Code département,Code commune,Nom de la commune,Population municipale,Population comptée à part,Population totale
976,601,Acoua,5192,192,5384
976,602,Bandraboua,13989,222,14211
976,603,Bandrele,10282,247,10529
976,604,Bouéni,6189,314,6503
976,605,Chiconi,8295,321,8616
976,606,Chirongui,8920,277,9197
976,607,Dembeni,15848,268,16116
976,608,Dzaoudzi,17831,406,18237
976,609,Kani Kéli,5507,209,5716
976,610,Koungou,32156,596,32752
976,611,Mamoudzou,71437,1537,72974
976,612,Mtsamboro,7705,320,8025
976,613,M'Tsangamouji,6432,154,6586
976,614,Ouangani,10203,190,10393
976,615,Pamandzi,11442,360,11802
976,616,Sada,11156,463,11619
976,617,Tsingoni,13934,301,14235
